,ts,te,td,sa,da,sp,dp,pr,flg,fwd,stos,ipkt,ibyt,opkt,obyt,in,out,sas,das,smk,dmk,dtos,dir,nh,nhb,svln,dvln,ismc,odmc,idmc,osmc,mpls1,mpls2,mpls3,mpls4,mpls5,mpls6,mpls7,mpls8,mpls9,mpls10,cl,sl,al,ra,eng,exid,tr,st_timestamp,et_timestamp,flow_tag,flow_type
10,2018-06-06 06:12:01,2018-06-06 06:12:01,0.012,192.168.1.165,192.168.1.248,3508,49152.0,TCP,...AP.SF,0.0,0.0,6.0,386.0,5.0,1338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.919,2.66,1.671,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283521.0,1528283521.0,,0
11,2018-06-06 06:10:49,2018-06-06 06:11:49,60.016,192.168.1.165,129.132.2.21,3458,123.0,UDP,........,0.0,0.0,2.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283449.0,1528283509.0,,0
12,2018-06-06 06:08:14,2018-06-06 06:12:59,285.614,74.125.203.188,192.168.1.192,5228,48719.0,TCP,...AP...,0.0,0.0,8.0,334.0,11.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.078,139.49200000000002,45153.227999999996,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283294.0,1528283579.0,,0
13,2018-06-06 06:10:13,2018-06-06 06:14:15,242.320,fe80::16cc:20ff:fe51:33ea,fdc1:1bdc:1e84::128,0,34560.0,ICMP6,........,0.0,0.0,5.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283413.0,1528283655.0,,0
14,2018-06-06 06:12:43,2018-06-06 06:12:45,1.686,184.73.174.14,192.168.1.165,8443,4741.0,TCP,...APRSF,0.0,0.0,10.0,3446.0,11.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.235,220.38,225.045,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283563.0,1528283565.0,,0
15,2018-06-06 06:12:43,2018-06-06 06:12:53,10.197,192.168.1.216,52.193.63.246,49286,443.0,TCP,...APRSF,0.0,0.0,9.0,1242.0,8.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,3.5060000000000002,178.668,192.329,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283563.0,1528283573.0,,0
16,2018-06-06 06:09:23,2018-06-06 06:09:33,10.199,192.168.1.216,52.193.63.246,49263,443.0,TCP,...APRSF,0.0,0.0,9.0,1242.0,8.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4.622,177.585,191.794,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283363.0,1528283373.0,,0
17,2018-06-06 06:10:47,2018-06-06 06:13:58,190.529,192.168.1.1,192.168.1.192,0,0.0,ICMP,........,0.0,0.0,8.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283447.0,1528283638.0,,0
18,2018-06-06 06:09:52,2018-06-06 06:09:54,2.152,184.73.174.14,192.168.1.165,8443,4647.0,TCP,...APRSF,0.0,0.0,17.0,2918.0,18.0,10234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.143,219.84599999999998,225.47299999999998,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283392.0,1528283394.0,,0
19,2018-06-06 06:12:23,2018-06-06 06:12:25,1.688,184.73.174.14,192.168.1.165,8443,4738.0,TCP,...APRSF,0.0,0.0,10.0,3446.0,11.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,2.0269999999999997,220.107,225.077,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283543.0,1528283545.0,,0
20,2018-06-06 06:13:13,2018-06-06 06:13:23,10.186,192.168.1.216,52.193.63.246,49289,443.0,TCP,...APRSF,0.0,0.0,9.0,1242.0,8.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,8.82,177.862,187.35,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283593.0,1528283603.0,,0
21,2018-06-06 06:13:09,2018-06-06 06:13:09,0.541,192.168.1.165,192.168.1.192,3460,51540.0,UDP,........,0.0,0.0,6.0,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283589.0,1528283589.0,,0
22,2018-06-06 06:13:09,2018-06-06 06:13:48,39.116,192.168.1.165,192.168.1.1,3461,53.0,UDP,........,0.0,0.0,5.0,164.0,5.0,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283589.0,1528283628.0,,0
23,2018-06-06 06:09:07,2018-06-06 06:09:07,0.033,192.168.1.165,192.168.1.223,4544,49153.0,TCP,...AP.SF,0.0,0.0,8.0,363.0,8.0,4827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.955,1.005,6.77,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283347.0,1528283347.0,,0
24,2018-06-06 06:11:27,2018-06-06 06:11:57,30.341,174.129.217.97,192.168.1.165,3478,4054.0,TCP,...AP.SF,0.0,0.0,6.0,444.0,9.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.5330000000000001,209.372,211.52900000000002,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283487.0,1528283517.0,,0
25,2018-06-06 06:11:52,2018-06-06 06:11:53,0.141,192.168.1.192,8.8.8.8,42593,53.0,UDP,........,0.0,0.0,2.0,64.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283512.0,1528283513.0,,0
26,2018-06-06 06:09:38,2018-06-06 06:10:09,30.315,174.129.217.97,192.168.1.165,3478,3260.0,TCP,...AP.SF,0.0,0.0,6.0,444.0,9.0,656.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,3.7060000000000004,218.761,220.592,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283378.0,1528283409.0,,0
27,2018-06-06 06:10:08,2018-06-06 06:10:45,36.236,192.168.1.165,192.168.1.1,3457,53.0,UDP,........,0.0,0.0,5.0,164.0,5.0,693.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283408.0,1528283445.0,,0
28,2018-06-06 06:10:13,2018-06-06 06:14:15,242.293,fdc1:1bdc:1e84::1,fe80::e276:d0ff:fe3f:ae,0,34816.0,ICMP6,........,0.0,0.0,5.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283413.0,1528283655.0,,0
29,2018-06-06 06:12:15,2018-06-06 06:12:17,1.671,184.73.174.14,192.168.1.165,8443,4736.0,TCP,...APRSF,0.0,0.0,10.0,3446.0,11.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.6680000000000001,208.28900000000002,213.896,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283535.0,1528283537.0,,0
30,2018-06-06 06:12:45,2018-06-06 06:12:47,2.127,184.73.174.14,192.168.1.165,8443,4742.0,TCP,...APRSF,0.0,0.0,17.0,2918.0,18.0,10234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.7930000000000001,208.321,214.515,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283565.0,1528283567.0,,0
31,2018-06-06 06:10:34,2018-06-06 06:14:57,263.041,192.168.1.230,192.168.1.1,53514,53.0,UDP,........,0.0,0.0,9.0,288.0,9.0,3685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283434.0,1528283697.0,,0
32,2018-06-06 06:13:23,2018-06-06 06:13:24,0.787,52.9.63.170,192.168.1.216,443,57934.0,TCP,...AP.SF,0.0,0.0,8.0,4685.0,11.0,913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,5.228,156.363,192.851,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283603.0,1528283604.0,,0
33,2018-06-06 06:12:49,2018-06-06 06:12:49,0.000,192.168.1.165,132.163.4.102,3460,123.0,UDP,........,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283569.0,1528283569.0,,0
34,2018-06-06 06:11:47,2018-06-06 06:11:49,1.741,184.73.174.14,192.168.1.165,8443,4721.0,TCP,...APRSF,0.0,0.0,10.0,3446.0,11.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.232,219.793,225.45,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283507.0,1528283509.0,,0
35,2018-06-06 06:13:44,2018-06-06 06:13:54,10.169,52.9.63.171,192.168.1.216,443,48670.0,TCP,...APRSF,0.0,0.0,8.0,337.0,9.0,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4.092,152.696,191.998,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283624.0,1528283634.0,,0
36,2018-06-06 06:12:01,2018-06-06 06:12:01,0.047,192.168.1.165,192.168.1.223,4136,49153.0,TCP,...AP.SF,0.0,0.0,8.0,363.0,8.0,4827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,4.868,11.728,8.459,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283521.0,1528283521.0,,0
37,2018-06-06 06:13:59,2018-06-06 06:13:59,0.142,192.168.1.192,8.8.8.8,60323,53.0,UDP,........,0.0,0.0,2.0,64.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283639.0,1528283639.0,,0
38,2018-06-06 06:10:48,2018-06-06 06:13:59,190.529,8.8.8.8,192.168.1.192,0,0.0,ICMP,........,0.0,0.0,8.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283448.0,1528283639.0,,0
39,2018-06-06 06:11:57,2018-06-06 06:12:39,42.188,192.168.1.165,192.168.1.1,3459,53.0,UDP,........,0.0,0.0,6.0,197.0,6.0,742.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.0,0.0,0.0,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283517.0,1528283559.0,,0
40,2018-06-06 06:11:03,2018-06-06 06:11:13,10.197,192.168.1.216,52.193.63.246,49275,443.0,TCP,...APRSF,0.0,0.0,9.0,1242.0,8.0,337.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,2.531,181.72099999999998,193.868,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283463.0,1528283473.0,,0
41,2018-06-06 06:10:34,2018-06-06 06:10:36,2.079,184.73.174.14,192.168.1.165,8443,4655.0,TCP,...APRSF,0.0,0.0,11.0,3478.0,12.0,1039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0.9470000000000001,220.018,225.98,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283434.0,1528283436.0,,0
42,2018-06-06 06:13:01,2018-06-06 06:13:03,2.143,184.73.174.14,192.168.1.165,8443,4746.0,TCP,...APRSF,0.0,0.0,17.0,2918.0,18.0,10234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0.0.0,0.0.0.0,0.0,0.0,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,00:00:00:00:00:00,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,0-0-0,1.598,219.02,224.458,0.0.0.0,0/0,0.0,1969-12-31 18:00:00.000,1528283581.0,1528283583.0,,0
